epoch,accuracy,loss,val_accuracy,val_loss
0,0.5808666944503784,1.2554601430892944,0.692300021648407,0.9545549750328064
1,0.7187333106994629,0.8868011236190796,0.7261999845504761,0.8407006859779358
2,0.7416166663169861,0.8181674480438232,0.7458999752998352,0.7970104217529297
3,0.7535666823387146,0.7862603068351746,0.7601000070571899,0.7767324447631836
4,0.7624666690826416,0.7681451439857483,0.765999972820282,0.7606751322746277
5,0.7696833610534668,0.7543728947639465,0.7734000086784363,0.7512206435203552
6,0.774566650390625,0.7441810965538025,0.7785999774932861,0.7449058294296265
7,0.7777833342552185,0.7331603765487671,0.7842000126838684,0.740256130695343
8,0.7825333476066589,0.7237701416015625,0.786300003528595,0.7224848866462708
9,0.7847999930381775,0.7133259177207947,0.7908999919891357,0.716101348400116
